City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
388,Portobelo,PA,87.12,overcast clouds,9.55,-79.65,Scuba Portobelo
389,Trincomalee,LK,82.2,overcast clouds,8.5711,81.2335,Welcombe Hotel
397,Kuah,MY,85.46,broken clouds,6.3265,99.8432,Azio Hotel
400,Puerto Ayacucho,VE,88.84,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
401,Kailua,US,75.65,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
402,Agadir,MA,77.45,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
403,Baracoa,CU,86.63,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
404,Isabela,PH,78.85,light rain,6.7085,121.9711,Isawad Resort
406,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
408,Morrinhos,BR,87.33,broken clouds,-17.7311,-49.0994,Hotel Águia
411,Faanui,PF,81.12,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
416,Carutapera,BR,83.84,light rain,-1.195,-46.02,Lidera
419,Myrtle Beach,US,82.98,few clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
421,Westport,US,82.44,clear sky,41.1415,-73.3579,The Westport Inn
424,Muros,ES,87.67,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
425,Marsaxlokk,MT,75.81,clear sky,35.8419,14.5431,Water's Edge
426,Nanakuli,US,75.61,clear sky,21.3906,-158.1547,Camp Pālehua
427,Carolina,PR,87.69,few clouds,18.3808,-65.9574,Motel Fantasy Star
429,Dicabisagan,PH,77.81,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
431,Caravelas,BR,78.75,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
432,Alpinopolis,BR,79.48,clear sky,-20.8636,-46.3881,Hotel Ventania
435,Tomball,US,87.91,few clouds,30.0972,-95.6161,La Quinta Inn & Suites by Wyndham Tomball
436,Lamar,US,84.11,scattered clouds,33.6668,-95.5836,Kings Inn Paris TX
437,Acapulco,MX,87.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
440,Roanoke Rapids,US,76.01,broken clouds,36.4615,-77.6542,Hampton Inn Roanoke Rapids
441,Durham,US,76.6,broken clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
446,Gorontalo,ID,75.07,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
