City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
166,Hamilton,US,39.1834,-84.5333,84.88,53,47,1.99,scattered clouds
167,Sorland,NO,67.667,12.6934,46.26,85,67,24.47,broken clouds
168,Bergen,NO,60.392,5.328,49.15,80,75,9.22,broken clouds
169,Egvekinot,RU,66.3167,-179.1667,26.24,99,100,5.55,overcast clouds
170,Murchison,NZ,-41.8,172.3333,56.48,100,100,1.45,overcast clouds
171,Preobrazheniye,RU,42.9019,133.9064,43.56,90,86,7.56,overcast clouds
172,Zhezkazgan,KZ,47.8043,67.7144,60.33,52,86,9.73,overcast clouds
173,The Valley,AI,18.217,-63.0578,84.09,71,18,21.3,few clouds
174,Sisimiut,GL,66.9395,-53.6735,27.55,60,74,15.32,broken clouds
175,Kruisfontein,ZA,-34.0033,24.7314,56.88,88,37,4.9,scattered clouds
176,Antofagasta,CL,-23.65,-70.4,66.92,64,2,7.47,clear sky
177,Oeiras Do Para,BR,-2.0031,-49.8544,84.52,79,51,4.92,broken clouds
178,Klaksvik,FO,62.2266,-6.589,47.32,89,100,2.57,overcast clouds
179,Zabaykalsk,RU,49.6333,117.3167,49.87,36,97,8.25,overcast clouds
180,San Andres,CO,12.5847,-81.7006,81.34,77,93,10.51,overcast clouds
181,Lasa,IT,46.6166,10.7002,64.36,76,13,1.9,few clouds
182,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,80,63,20.0,broken clouds
183,Flinders,AU,-34.5833,150.8552,68.18,92,31,5.01,scattered clouds
184,Catuday,PH,16.2923,119.8062,82.8,74,100,3.96,overcast clouds
185,Avera,US,33.194,-82.5271,77.05,49,15,0.92,few clouds
186,Dumas,US,35.8656,-101.9732,84.61,18,0,9.22,clear sky
187,Narsaq,GL,60.9167,-46.05,39.42,70,97,5.17,overcast clouds
188,Belaya Gora,RU,68.5333,146.4167,19.49,93,100,6.13,light snow
189,Ponta Do Sol,PT,32.6667,-17.1,75.7,64,8,10.04,clear sky
