City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Pangnirtung,CA,2022-05-08 01:57:32,66.1451,-65.7125,13.55,75,44,7.25
135,Stokmarknes,NO,2022-05-08 02:00:20,68.5646,14.9108,30.18,93,40,6.91
136,Sorong,ID,2022-05-08 02:00:21,-0.8833,131.25,84.49,72,31,3.53
137,Chifeng,CN,2022-05-08 02:00:22,42.2683,118.9636,56.1,25,100,2.84
138,Arraial Do Cabo,BR,2022-05-08 02:00:22,-22.9661,-42.0278,72.01,80,82,9.28
139,Nikolskoye,RU,2022-05-08 02:00:23,59.7035,30.7861,43.88,94,100,7.63
140,Vila Franca Do Campo,PT,2022-05-08 02:00:24,37.7167,-25.4333,66.2,93,79,0.92
141,Faanui,PF,2022-05-08 02:00:24,-16.4833,-151.75,82.27,73,11,7.4
142,Puerto Quijarro,BO,2022-05-08 02:01:25,-17.7833,-57.7667,67.24,49,0,3.29
143,Husavik,IS,2022-05-08 02:01:25,66.0449,-17.3389,39.06,73,100,7.61
144,Vinces,EC,2022-05-08 02:01:26,-1.55,-79.7333,74.79,95,77,5.5
145,Les Escoumins,CA,2022-05-08 02:01:26,48.1111,-69.0236,30.06,64,0,3.47
146,Saint-Francois,FR,2022-05-08 02:01:27,46.4154,3.9054,49.68,93,0,3.44
147,Dalian,CN,2022-05-08 02:00:06,38.9122,121.6022,55.33,67,0,13.42
148,Oussouye,SN,2022-05-08 02:01:28,12.485,-16.5469,75.38,76,3,5.39
149,Norman Wells,CA,2022-05-08 02:01:29,65.282,-126.8329,43.25,64,100,3.53
150,Airai,TL,2022-05-08 01:59:01,-8.9266,125.4092,72.52,61,44,5.55
151,Ribeira Grande,PT,2022-05-08 02:01:29,38.5167,-28.7,61.14,66,94,3.78
152,Biak,ID,2022-05-08 02:01:30,-0.9131,122.8766,81.34,80,77,4.97
153,Chermoz,RU,2022-05-08 02:01:31,58.787,56.1489,41.68,79,94,10.27
154,Mirnyy,RU,2022-05-08 02:01:31,62.5353,113.9611,39.65,78,40,16.17
155,Tecoanapa,MX,2022-05-08 02:01:34,16.5167,-98.75,81.52,71,100,6.91
156,Mianyang,CN,2022-05-08 02:01:35,31.4593,104.7542,76.53,62,42,9.78
157,Bengkulu,ID,2022-05-08 02:01:35,-3.8004,102.2655,80.22,72,100,2.91
158,Khatanga,RU,2022-05-08 01:58:35,71.9667,102.5,13.77,92,98,10.58
159,Thompson,CA,2022-05-08 02:01:37,55.7435,-97.8558,59.47,83,100,10.67
160,Sokoni,TZ,2022-05-08 01:58:37,-6.4333,39.55,80.35,77,52,16.4
161,Pontarlier,FR,2022-05-08 02:01:38,46.8333,6.25,47.01,95,35,5.86
162,Shajapur,IN,2022-05-08 02:01:38,23.4333,76.2667,90.99,23,0,10.56
163,Suez,EG,2022-05-08 02:01:39,29.9737,32.5263,64.71,39,79,6.49
164,Mayo,US,2022-05-08 02:01:39,38.8876,-76.5119,49.03,93,100,11.5
165,Maridi,SS,2022-05-08 02:01:40,4.9158,29.4742,66.22,95,49,0.98
166,Basco,PH,2022-05-08 02:01:41,20.4487,121.9702,82.4,78,75,14.2
167,La Ronge,CA,2022-05-08 02:01:41,55.1001,-105.2842,46.56,70,100,2.59
168,Vila Velha,BR,2022-05-08 02:01:42,-20.3297,-40.2925,71.64,87,7,12.68
169,Warrington,GB,2022-05-08 02:00:31,53.3925,-2.5802,52.97,82,20,6.91
170,Port Lincoln,AU,2022-05-08 02:01:43,-34.7333,135.8667,60.98,65,5,6.51
171,Ulcinj,ME,2022-05-08 02:01:43,41.9294,19.2244,58.98,89,100,1.36
172,Kununurra,AU,2022-05-08 02:01:44,-15.7667,128.7333,82.38,23,2,12.66
173,Saskylakh,RU,2022-05-08 02:01:44,71.9167,114.0833,12.38,90,53,13.85
174,Pontes E Lacerda,BR,2022-05-08 02:01:45,-15.2261,-59.3353,65.52,67,0,3.6
175,Aksarka,RU,2022-05-08 02:01:46,66.5606,67.7975,32.22,100,100,9.46
176,Moose Factory,CA,2022-05-08 02:01:47,51.2585,-80.6094,39.47,61,6,5.44
177,Kudahuvadhoo,MV,2022-05-08 02:01:47,2.6708,72.8944,84.02,76,32,14.07
178,Ballitoville,ZA,2022-05-08 02:01:48,-29.539,31.2144,67.24,91,18,14.07
179,Florianopolis,BR,2022-05-08 02:00:26,-27.6146,-48.5012,57.7,80,0,3.71
180,Manyana,BW,2022-05-08 02:01:49,-23.4,21.7167,54.79,56,12,9.62
181,Lavrentiya,RU,2022-05-08 02:01:49,65.5833,-171.0,32.67,91,100,5.73
182,Hammerfest,NO,2022-05-08 02:01:50,70.6634,23.6821,32.45,86,75,4.61
183,Esperance,AU,2022-05-08 02:01:51,-33.8667,121.9,64.65,39,51,16.71
184,Fortuna,US,2022-05-08 01:59:05,40.5982,-124.1573,54.91,70,20,12.66
185,Karratha,AU,2022-05-08 02:02:40,-20.7377,116.8463,82.42,38,93,20.45
186,Mayor Pablo Lagerenza,PY,2022-05-08 02:02:52,-19.9309,-60.7718,67.69,59,5,4.61
187,Juneau,US,2022-05-08 02:00:22,58.3019,-134.4197,43.11,100,30,4.94
188,San Patricio,US,2022-05-08 02:02:52,28.017,-97.5169,82.49,81,0,14.5
189,Maiduguri,NG,2022-05-08 02:00:22,11.8464,13.1603,86.86,40,97,6.49
190,Ketchikan,US,2022-05-08 02:02:53,55.3422,-131.6461,48.34,56,37,4.12
191,Vuktyl,RU,2022-05-08 02:02:54,63.8567,57.3094,40.3,93,100,7.43
192,Lucapa,AO,2022-05-08 02:02:54,-8.4192,20.7447,67.15,77,68,0.31
193,Luorong,CN,2022-05-08 02:02:55,24.4058,109.6086,74.62,85,100,2.21
194,San Quintin,MX,2022-05-08 02:02:56,30.4833,-115.95,61.61,82,32,14.03
195,Ambilobe,MG,2022-05-08 02:03:00,-13.2,49.05,69.58,89,34,3.31
196,Turayf,SA,2022-05-08 02:03:01,31.6725,38.6637,53.26,50,0,5.88
197,Dakoro,NE,2022-05-08 02:03:02,14.5106,6.765,89.62,23,100,9.84
198,Taltal,CL,2022-05-08 02:03:02,-25.4,-70.4833,59.65,81,69,1.74
199,Fare,PF,2022-05-08 02:03:03,-16.7,-151.0167,81.84,72,14,5.14
200,Lubao,PH,2022-05-08 02:03:04,14.9167,120.55,92.08,48,18,11.54
201,Igarka,RU,2022-05-08 02:03:04,67.4667,86.5833,17.55,89,72,19.51
202,Bandarbeyla,SO,2022-05-08 02:03:05,9.4942,50.8122,81.21,86,91,8.52
203,Durban,ZA,2022-05-08 02:03:05,-29.8579,31.0292,68.02,78,62,11.01
204,Varangaon,IN,2022-05-08 02:03:06,21.0167,75.9,93.18,21,13,3.89
205,Saint-Philippe,RE,2022-05-08 02:03:07,-21.3585,55.7679,69.39,85,40,11.83
206,Rawson,AR,2022-05-08 02:03:07,-43.3002,-65.1023,69.12,42,17,11.72
207,Kirakira,SB,2022-05-08 02:03:08,-10.4544,161.9205,84.06,76,94,11.27
208,Vidim,RU,2022-05-08 02:02:21,56.4088,103.1106,42.1,36,100,16.04
209,Umm Lajj,SA,2022-05-08 02:03:09,25.0213,37.2685,76.39,39,6,9.91
210,Christchurch,NZ,2022-05-08 02:00:00,-43.5333,172.6333,68.2,82,100,14.97
211,Seoul,KR,2022-05-08 02:00:00,37.5683,126.9778,62.17,34,0,13.8
212,Omsukchan,RU,2022-05-08 02:03:10,62.5333,155.8,30.79,92,100,9.53
213,Azangaro,PE,2022-05-08 02:03:10,-14.9167,-70.2167,40.75,74,97,1.5
214,Coihaique,CL,2022-05-08 02:03:11,-45.5752,-72.0662,57.15,88,93,6.91
215,East London,ZA,2022-05-08 02:00:33,-33.0153,27.9116,60.89,88,100,10.76
216,North Bend,US,2022-05-08 02:03:12,43.4065,-124.2243,49.15,87,100,14.97
217,San Cristobal,VE,2022-05-08 02:02:36,7.7669,-72.225,65.91,98,100,3.42
218,Lincoln,US,2022-05-08 02:03:12,40.8,-96.667,69.71,59,0,23.02
219,Dunedin,NZ,2022-05-08 01:59:37,-45.8742,170.5036,58.8,82,100,5.68
220,Pinotepa Nacional,MX,2022-05-08 02:03:13,16.3167,-98.0167,78.76,64,52,2.01
221,Celestun,MX,2022-05-08 02:03:14,20.8667,-90.4,81.25,81,0,12.33
222,Alofi,NU,2022-05-08 02:03:15,-19.0595,-169.9187,79.36,80,100,17.38
223,Pacific Grove,US,2022-05-08 02:03:15,36.6177,-121.9166,60.75,76,40,15.01
224,Ndago,TZ,2022-05-08 02:03:16,-4.6,34.35,59.9,77,31,5.41
225,Labuan,MY,2022-05-08 02:03:17,5.2767,115.2417,81.88,80,100,4.81
226,Muros,ES,2022-05-08 02:03:17,42.7762,-9.0603,55.83,84,89,5.73
227,Marawi,PH,2022-05-08 02:01:51,7.9986,124.2928,83.37,61,51,3.6
228,Bontang,ID,2022-05-08 02:03:18,0.1333,117.5,83.05,79,100,1.86
229,Touros,BR,2022-05-08 02:03:19,-5.1989,-35.4608,77.04,87,100,8.41
230,Biskamzha,RU,2022-05-08 02:04:20,53.4497,89.5272,34.12,59,33,13.73
231,Le Vauclin,MQ,2022-05-08 02:04:20,14.5452,-60.8388,78.84,88,0,2.3
232,Lebu,CL,2022-05-08 02:04:21,-37.6167,-73.65,53.02,92,5,1.95
233,Lagoa,PT,2022-05-08 02:04:21,39.05,-27.9833,59.92,70,91,6.33
234,Yumen,CN,2022-05-08 02:04:22,40.2833,97.2,63.27,20,0,4.59
235,Usevya,TZ,2022-05-08 02:04:23,-7.1,31.2333,64.9,78,74,3.02
236,Varna,BG,2022-05-08 02:02:55,43.2167,27.9167,43.88,100,46,3.44
237,Conde,BR,2022-05-08 02:04:24,-7.2597,-34.9075,74.66,100,75,4.61
238,Caucaia,BR,2022-05-08 02:04:24,-3.7361,-38.6531,78.75,81,40,5.75
239,Poum,NC,2022-05-08 02:04:25,-20.2333,164.0167,78.31,61,44,24.85
240,Macia,MZ,2022-05-08 02:04:26,-25.0269,33.0989,63.3,91,4,2.89
241,Namatanai,PG,2022-05-08 02:04:27,-3.6667,152.4333,85.86,67,34,12.77
242,Viedma,AR,2022-05-08 02:03:00,-40.8135,-62.9967,65.82,38,7,17.52
243,Geraldton,AU,2022-05-08 02:04:27,-28.7667,114.6,73.81,43,75,6.91
244,Sabang,ID,2022-05-08 02:04:28,5.8933,95.3214,82.02,77,100,7.92
245,Kavaratti,IN,2022-05-08 02:04:29,10.5669,72.642,84.4,69,85,10.92
246,Capilla De Guadalupe,MX,2022-05-08 02:04:29,20.8333,-102.5833,75.67,18,30,5.59
247,Gat,IL,2022-05-08 02:04:30,31.61,34.7642,59.4,65,51,2.33
248,Manoel Urbano,BR,2022-05-08 02:04:30,-8.8389,-69.2597,73.56,84,25,1.68
249,Souillac,MU,2022-05-08 02:04:31,-20.5167,57.5167,75.11,75,13,12.24
250,Port Blair,IN,2022-05-08 02:01:47,11.6667,92.75,83.43,80,100,23.02
251,Guerrero Negro,MX,2022-05-08 02:01:52,27.9769,-114.0611,61.2,84,0,19.91
252,Atuntaqui,EC,2022-05-08 02:04:32,0.3333,-78.2167,56.84,90,89,3.53
253,Kaitangata,NZ,2022-05-08 02:01:30,-46.2817,169.8464,55.4,96,100,1.72
254,Camargo,MX,2022-05-08 02:04:33,27.6667,-105.1667,87.06,8,0,9.24
255,Ust-Barguzin,RU,2022-05-08 02:04:33,53.45,108.9833,50.72,59,3,5.28
256,Mount Isa,AU,2022-05-08 02:04:09,-20.7333,139.5,78.57,41,0,9.22
257,Belomorsk,RU,2022-05-08 02:04:34,64.5232,34.7668,39.81,89,100,7.72
258,Laguna,US,2022-05-08 02:04:35,38.421,-121.4238,73.4,47,0,18.41
259,Mitsamiouli,KM,2022-05-08 02:04:36,-11.3847,43.2844,80.35,77,10,10.27
260,Kapuskasing,CA,2022-05-08 02:01:02,49.4169,-82.4331,43.68,56,12,6.42
261,Kobayashi,JP,2022-05-08 02:04:36,31.9833,130.9833,74.25,67,88,3.83
262,Hasaki,JP,2022-05-08 02:04:37,35.7333,140.8333,66.6,54,97,20.94
263,Tanda,IN,2022-05-08 02:04:38,26.55,82.65,90.19,33,0,3.89
264,Huilong,CN,2022-05-08 02:02:45,31.8111,121.655,65.07,62,0,10.6
265,Barra Do Garcas,BR,2022-05-08 02:04:38,-15.89,-52.2567,70.59,59,0,4.07
266,Yarkovo,RU,2022-05-08 02:04:39,57.4028,67.0786,46.85,70,7,7.94
267,Shahrud,IR,2022-05-08 02:04:40,36.4182,54.9763,64.27,49,100,4.25
268,Verkhnyaya Inta,RU,2022-05-08 02:04:40,65.9811,60.3094,40.33,95,91,15.5
269,Trinidad,BO,2022-05-08 02:04:41,-14.8333,-64.9,68.41,67,5,4.07
270,Rivadavia,AR,2022-05-08 02:04:41,-33.1905,-68.4608,59.9,52,100,5.14
271,Cukai,MY,2022-05-08 02:04:42,4.25,103.4167,83.3,78,100,6.17
272,Siachoque,CO,2022-05-08 02:04:42,5.5124,-73.2444,50.56,99,100,3.74
273,Yulara,AU,2022-05-08 02:04:43,-25.2406,130.9889,61.81,31,0,13.94
274,Chenzhou,CN,2022-05-08 02:03:54,25.8,113.0333,73.85,90,100,2.71
275,Alexandria,EG,2022-05-08 02:01:05,31.2156,29.9553,63.91,65,52,7.58
276,Dingle,PH,2022-05-08 02:05:44,10.9995,122.6711,87.6,64,98,14.94
277,Byron Bay,AU,2022-05-08 02:02:13,-28.65,153.6167,65.71,84,100,10.33
278,General Roca,AR,2022-05-08 02:05:45,-39.0333,-67.5833,62.58,28,5,5.99
279,Vostok,RU,2022-05-08 02:05:46,46.4856,135.8833,38.08,81,100,12.75
280,Khilok,RU,2022-05-08 02:05:46,51.3674,110.4676,63.5,27,7,7.38
281,Iquitos,PE,2022-05-08 02:05:47,-3.7481,-73.2472,75.24,100,75,2.3
282,Belmonte,BR,2022-05-08 02:05:47,-15.8631,-38.8828,74.86,88,50,4.74
